trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,marin,peintres,sert,Un marin que les peintres sert sait cuisiner.,auditory,Le,False,5.0
trial_2,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,plombiers,pompiers,sert,Ces plombiers que ces pompiers sert doivent manger.,auditory,libraires,False,5.5
trial_3,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,bouchers,danseur,entend,Des bouchers auprès du danseur entend ces gérants.,auditory,auprès,True,6.0
trial_4,GS,sr_pp,no,yes,no,,sing,sing,sing,dentiste,plombier,entend,Auprès du dentiste un plombier entend un prêtre.,auditory,plombier,True,6.5
trial_5,GDLS,lr_obj,no,no,yes,,plur,sing,sing,malades,marchand,séduit,Les malades que ce marchand séduit écrivent souvent.,auditory,parfois,False,7.0
trial_6,GS,sr_pp,no,yes,no,,plur,plur,plur,comédiens,dentistes,plaignent,Près des comédiens des dentistes plaignent des matelots.,auditory,élisent,False,5.0
trial_7,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,malade,matelot,servent,Ce malade que le matelot servent peint toujours.,auditory,que,True,5.5
trial_8,GSLD,lr_pp,no,no,yes,,plur,sing,plur,clients,marchand,élisent,Les clients proche du marchand élisent des matelots.,auditory,défendent,False,6.0
trial_9,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,chanteurs,juge,élisent,Les chanteurs que le juge élisent doivent dormir.,auditory,endorment,False,6.5
trial_10,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,plombier,servent,Le boucher proche du plombier servent un serveur.,auditory,coiffeur,False,7.0
trial_11,GSLS,lr_obj,no,yes,no,,sing,sing,sing,marin,matelot,punit,Un marin que ce matelot punit écrit rarement.,auditory,auprès,False,5.0
trial_12,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,champion,gardien,servent,Loin du champion le gardien servent ce prêtre.,auditory,le,True,5.5
trial_13,GSLD,lr_pp,no,no,yes,,sing,plur,sing,dentiste,gardiens,décrit,Le dentiste proche des gardiens décrit un prêtre.,auditory,libraire,False,6.0
trial_14,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,champions,gardiens,défend,Ces champions près des gardiens défend des serveurs.,auditory,Les,False,6.5
trial_15,GSLS,lr_pp,no,yes,no,,plur,plur,plur,champions,coiffeurs,reçoivent,Les champions loin des coiffeurs reçoivent ces notaires.,auditory,Les,True,7.0
trial_16,GSLS,lr_obj,no,yes,no,,plur,plur,plur,coiffeurs,marins,reçoivent,Les coiffeurs que les marins reçoivent écrivent rarement.,auditory,rarement,True,5.0
trial_17,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,danseurs,craint,Proche des coiffeurs ces danseurs craint ces gérants.,auditory,Proche,True,5.5
trial_18,GDLS,lr_obj,no,no,yes,,sing,plur,plur,coiffeur,marins,reçoivent,Ce coiffeur que ces marins reçoivent doit payer.,auditory,reçoivent,True,6.0
trial_19,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,gérant,libraires,endorment,Un gérant près des libraires endorment ce pompier.,auditory,endorment,True,6.5
trial_20,GSLS,lr_pp,no,yes,no,,sing,sing,sing,danseur,facteur,sert,Un danseur auprès du facteur sert un patient.,auditory,patient,True,7.0
trial_21,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,champions,attend,Des bouchers auprès des champions attend les gérants.,visual,Des,True,5.0
trial_22,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,danseur,facteurs,endort,Ce danseur que les facteurs endort repart demain.,visual,ment,False,5.5
trial_23,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,coiffeurs,entend,Près des bouchers les coiffeurs entend ces médecins.,visual,Loin,False,6.0
trial_24,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,libraire,malades,entendent,Ce libraire loin des malades entendent le médecin.,visual,près,False,6.5
trial_25,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,chefs,suivent,Ces champions que ces chefs suivent partent lentement.,visual,ces,True,7.0
trial_26,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,facteurs,gérants,craint,Des facteurs que ces gérants craint veulent manger.,visual,séduit,False,5.0
trial_27,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,facteur,soldat,suivent,Le facteur proche du soldat suivent ce vendeur.,visual,soldat,True,5.5
trial_28,GSLD,lr_pp,no,no,yes,,sing,plur,sing,client,coiffeurs,hait,Le client auprès des coiffeurs hait ce marin.,visual,prêtre,False,6.0
trial_29,GSLS,lr_obj,no,yes,no,,sing,sing,sing,danseur,juge,bénit,Ce danseur que ce juge bénit peint toujours.,visual,près,False,6.5
trial_30,GS,sr_pp,no,yes,no,,plur,plur,plur,malades,prêtres,entendent,Auprès des malades les prêtres entendent les vendeurs.,visual,malades,True,7.0
trial_31,GS,sr_pp,no,yes,no,,sing,sing,sing,marchand,médecin,hait,Loin du marchand ce médecin hait un plombier.,visual,Près,False,5.0
trial_32,GSLS,lr_pp,no,yes,no,,sing,sing,sing,danseur,gardien,punit,Un danseur loin du gardien punit ce pompier.,visual,loin,True,5.5
trial_33,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,danseur,marchand,reçoivent,Un danseur que ce marchand reçoivent part demain.,visual,gardien,False,6.0
trial_34,GDLS,lr_obj,no,no,yes,,sing,plur,plur,boucher,coiffeurs,punissent,Ce boucher que les coiffeurs punissent sait cuisiner.,visual,notaire,False,6.5
trial_35,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,gardiens,patient,bénit,Des gardiens près du patient bénit ces plombiers.,visual,gardiens,True,7.0
trial_36,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,client,juge,haïssent,Auprès du client le juge haïssent un marin.,visual,client,True,5.0
trial_37,GSLD,lr_pp,no,no,yes,,plur,sing,plur,champions,chef,attendent,Ces champions auprès du chef attendent les gardiens.,visual,des,False,5.5
trial_38,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,notaire,attend,Des champions que ce notaire attend vomissent parfois.,visual,que,True,6.0
trial_39,GSLS,lr_pp,no,yes,no,,plur,plur,plur,clients,malades,entendent,Ces clients loin des malades entendent des notaires.,visual,malades,True,6.5
