,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,0,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chefs,patients,séduisent,Des chefs que les patients séduisent vomissent parfois.,visual
1,1,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,comédien,gardiens,émeut,Le comédien que ces gardiens émeut part demain.,visual
2,2,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,boucher,gardiens,entend,Le boucher que les gardiens entend écrit rarement.,visual
3,3,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,dentiste,malade,séduit,Ce dentiste que le malade séduit doit payer.,visual
4,4,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,malades,notaire,suivent,Les malades loin du notaire suivent des soldats.,visual
5,5,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,champion,gardien,reçoivent,Auprès du champion un gardien reçoivent le patient.,visual
6,6,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,marchand,médecin,endorment,Le marchand que le médecin endorment vomit souvent.,visual
7,7,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,boucher,malades,endorment,Ce boucher que ces malades endorment veut mourir.,visual
8,8,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,marchands,médecins,endorment,Des marchands auprès des médecins endorment ces notaires.,visual
9,9,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,dentiste,marchands,émeut,Ce dentiste proche des marchands émeut le marin.,visual
10,10,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,gardien,gérant,punissent,Le gardien loin du gérant punissent un libraire.,visual
11,11,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,champion,juges,plaignent,Un champion que ces juges plaignent sait nager.,visual
12,12,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,client,peintre,séduit,Ce client que ce peintre séduit peint souvent.,visual
13,13,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,malades,sert,Ces champions auprès des malades sert les plombiers.,visual
14,14,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,marins,notaires,bénit,Des marins que ces notaires bénit écrivent souvent.,visual
15,15,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,client,gardien,hait,Près du client le gardien hait un soldat.,visual
16,16,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,coiffeur,facteurs,séduisent,Un coiffeur loin des facteurs séduisent un médecin.,visual
17,17,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,matelot,serveur,attend,Le matelot auprès du serveur attend le vendeur.,visual
18,18,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,clients,gardien,sert,Les clients proche du gardien sert ces marchands.,visual
19,19,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,notaires,endort,Auprès des champions les notaires endort ces pompiers.,visual
20,20,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,dentistes,gérants,élit,Ces dentistes auprès des gérants élit des serveurs.,visual
21,21,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,gérant,marin,décrivent,Un gérant que ce marin décrivent repart aussitôt.,visual
22,22,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,marchand,peintres,décrit,Un marchand auprès des peintres décrit ce prêtre.,visual
23,23,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,chanteurs,séduit,Loin des champions les chanteurs séduit les danseurs.,visual
