sing,sing_freq,plur,sing_nl,plur_nl,english
chef,189.79,chefs,4,5,chief
médecin,112.35,médecins,7,8,doctor
juge,56.4,juges,4,5,judge
client,53.63,clients,6,7,customer
soldat,52.78,soldats,6,7,soldier
prêtre,38.37,prêtres,6,7,priest
patient,29.58,patients,7,8,patient
champion,27.69,champions,8,9,champion
malade,25.67,malades,6,7,sick
gardien,18.55,gardiens,7,8,guardian
dentiste,14.57,dentistes,8,9,dentist
peintre,13.6,peintres,7,8,painter
vendeur,11.3,vendeurs,7,8,seller
coiffeur,11.01,coiffeurs,8,9,hairdresser
chanteur,9.8,chanteurs,8,9,singer
facteur,9.67,facteurs,7,8,postman
serveur,9.21,serveurs,7,8,server
marchand,8.66,marchands,8,9,trader
marin,8.48,marins,5,6,Marine
boucher,7.15,bouchers,7,8,butcher
danseur,5.85,danseurs,7,8,dancer
gérant,5.54,gérants,6,7,manager
plombier,5.22,plombiers,8,9,plumber
matelot,4.78,matelots,7,8,sailor
notaire,4.63,notaires,7,8,notary
comédien,3.02,comédiens,8,9,actor
pompier,2.67,pompiers,7,8,firefighter
libraire,1.67,libraires,8,9,Bookseller
