infinitive,third_s,third_p,levenshtein,infitive_freq,third_s_nl,third_p_nl,l_difference,english,transitivity
faire,fait,font,2,2735.96,4,4,0,do,transitive
être,est,sont,3,1849.07,3,4,1,be,intransitive
suivre,suit,suivent,3,1819.44,4,7,3,to follow,transitive
pouvoir,peut,peuvent,3,1209.64,4,7,3,can,transitive
sentir,sent,sentent,3,240.85,4,7,3,feel,intransitive
attendre,attend,attendent,3,173.86,6,9,3,wait for,transitive
sortir,sort,sortent,3,156.13,4,7,3,go out,intransitive
foutre,fout,foutent,3,133.75,4,7,3,fuck,transitive
partir,part,partent,3,109.45,4,7,3,go,transitive
mettre,met,mettent,4,89.25,3,7,4,to put,transitive
rendre,rend,rendent,3,82.91,4,7,3,return,intransitive/transitive
voir,voit,voient,2,78.66,4,6,2,see,intransitive/transitive
asseoir,assied,asseyent,4,65.1,6,8,2,sit,transitive
ouvrir,ouvre,ouvrent,2,56.83,5,7,2,to open,transitive
dépendre,dépend,dépendent,3,48.3,6,9,3,to depend,transitive
servir,sert,servent,3,44.58,4,7,3,to serve,transitive
faillir,faut,faillent,5,42.7,4,8,4,fail,transitive
mentir,ment,mentent,3,42.12,4,7,3,lie,intransitive
entendre,entend,entendent,3,41.77,6,9,3,hear,intransitive/transitive
perdre,perd,perdent,3,39.97,4,7,3,to lose,transitive
dire,dit,disent,3,36.47,3,6,3,say,transitive
offrir,offre,offrent,2,34.01,5,7,2,to offer,transitive
haïr,hait,haïssent,5,31.21,4,8,4,hate,intransitive
répondre,répond,répondent,3,27.42,6,9,3,reply,transitive
refaire,refait,refont,2,26.29,6,6,0,redo,transitive
vendre,vend,vendent,3,22.75,4,7,3,sell,transitive
pleuvoir,pleut,pleuvent,3,20.5,5,8,3,to rain,transitive/intransitive
souffrir,souffre,souffrent,2,18.45,7,9,2,suffer,intransitive/transitive
mourir,meurt,meurent,2,14.97,5,7,2,die,intransitive
enfuir,enfuit,enfuient,2,14.79,6,8,2,escape,transitive
couvrir,couvre,couvrent,2,14.62,6,8,2,cover,transitive
savoir,sait,savent,3,14.39,4,6,2,know,transitive
revoir,revoit,revoient,2,14.31,6,8,2,see again,intransitive/transitive
devoir,doit,doivent,3,13.59,4,7,3,must,transitive
plaire,plaît,plaisent,4,12.63,5,8,3,to please,transitive
remettre,remet,remettent,4,12.56,5,9,4,put back,transitive
conclure,conclut,concluent,2,11.88,7,9,2,conclude,transitive
fuir,fuit,fuient,2,10.68,4,6,2,flee,intransitive/transitive
vouloir,veut,veulent,3,10.13,4,7,3,want,transitive
venir,vient,viennent,3,9.96,5,8,3,come,intransitive
vivre,vit,vivent,3,9.63,3,6,3,live,intransitive
satisfaire,satisfait,satisfont,2,9.6,9,9,0,satisfy,transitive
résoudre,résout,résolvent,4,9.28,6,9,3,solve,transitive
rire,rit,rient,2,8.22,3,5,2,to laugh,intransitive
mordre,mord,mordent,3,7.95,4,7,3,bite,transitive
défendre,défend,défendent,3,7,6,9,3,defend,transitive
repartir,repart,repartent,3,6.61,6,9,3,go back to,transitive
croire,croit,croient,2,5.43,5,7,2,believe,intransitive/transitive
luire,luit,luisent,3,5.41,4,7,3,glow,intransitive
défaire,défait,défont,2,5.26,6,6,0,undo,transitive
étendre,étend,étendent,3,4.98,5,8,3,to expand,transitive
suffire,suffit,suffisent,3,4.52,6,9,3,suffice,intransitive/transitive
répandre,répand,répandent,3,4.14,6,9,3,spread,transitive
tendre,tend,tendent,3,3.72,4,7,3,tender,transitive
tenir,tient,tiennent,3,3.56,5,8,3,hold,transitive
exclure,exclut,excluent,2,3.21,6,8,2,exclude,transitive
détendre,détend,détendent,3,3.21,6,9,3,relax,intransitive
sourire,sourit,sourient,2,3.19,6,8,2,smile,intransitive/transitive
valoir,vaut,valent,3,3.04,4,6,2,worth,transitive
boire,boit,boivent,3,2.97,4,7,3,to drink,transitive
admettre,admet,admettent,4,2.83,5,9,4,admit,transitive
pendre,pend,pendent,3,2.5,4,7,3,hang,transitive
fondre,fond,fondent,3,2.38,4,7,3,to melt,intransitive
tordre,tord,tordent,3,2.08,4,7,3,twist,transitive
lire,lit,lisent,3,1.88,3,6,3,read,transitive
émettre,émet,émettent,4,1.85,4,8,4,issue,transitive
écrire,écrit,écrivent,3,1.77,5,8,3,to write,transitive
courir,court,courent,2,1.54,5,7,2,run,intransitive
repentir,repent,repentent,3,1.47,6,9,3,,
dormir,dort,dorment,3,1.45,4,7,3,to sleep,intransitive
survivre,survit,survivent,3,1.33,6,9,3,to survive,intransitive
