,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
0,trial_1,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,coiffeur,peintre,élit,Proche du coiffeur le peintre élit le vendeur.,auditory
1,trial_2,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,malades,attend,Des bouchers que les malades attend répondent aussitôt.,auditory
2,trial_3,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,comédien,peintres,émeuvent,Ce comédien près des peintres émeuvent un vendeur.,auditory
3,trial_4,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,pompier,soldats,défendent,Un pompier que les soldats défendent écrit rarement.,auditory
4,trial_5,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,danseurs,dentistes,reçoivent,Ces danseurs que ces dentistes reçoivent savent danser.,auditory
5,trial_6,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chanteur,clients,punit,Ce chanteur que les clients punit peint rarement.,auditory
6,trial_7,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,séduisent,Proche du boucher un comédien séduisent ce marchand.,auditory
7,trial_8,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,libraires,malades,punissent,Les libraires que les malades punissent mentent parfois.,auditory
8,trial_9,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,coiffeur,séduisent,Le chanteur près du coiffeur séduisent ce peintre.,auditory
9,trial_10,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,clients,endort,Près des champions les clients endort les marins.,auditory
10,trial_11,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,gardiens,matelots,attendent,Ces gardiens près des matelots attendent les notaires.,auditory
11,trial_12,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,comédien,juge,suivent,Le comédien que ce juge suivent sait nager.,auditory
12,trial_13,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,malade,marin,haïssent,Un malade que le marin haïssent répond lentement.,auditory
13,trial_14,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chanteurs,facteur,décrivent,Ces chanteurs que le facteur décrivent mentent souvent.,auditory
14,trial_15,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,comédien,facteurs,plaint,Le comédien loin des facteurs plaint ce gardien.,auditory
15,trial_16,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,champions,comédien,punit,Ces champions près du comédien punit les danseurs.,auditory
16,trial_17,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,gardiens,médecins,craignent,Ces gardiens auprès des médecins craignent les soldats.,auditory
17,trial_18,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,gardiens,marchands,séduit,Près des gardiens des marchands séduit les soldats.,auditory
18,trial_19,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,chanteur,décrit,Ces bouchers que ce chanteur décrit veulent partir.,auditory
19,trial_20,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,boucher,chefs,attend,Ce boucher loin des chefs attend un patient.,auditory
20,trial_21,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,médecins,plombiers,entendent,Proche des médecins les plombiers entendent des pompiers.,auditory
21,trial_22,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,champions,émeut,Les bouchers que les champions émeut savent danser.,auditory
22,trial_23,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,dentistes,malade,suivent,Ces dentistes que le malade suivent peignent parfois.,auditory
23,trial_24,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,client,gérant,endort,Un client auprès du gérant endort un notaire.,auditory
24,trial_25,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,chefs,facteurs,punit,Des chefs près des facteurs punit des patients.,auditory
25,trial_26,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,gérants,malades,attend,Ces gérants auprès des malades attend les patients.,auditory
26,trial_27,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,médecins,patients,émeuvent,Loin des médecins les patients émeuvent les serveurs.,auditory
27,trial_28,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,marchand,patient,défend,Auprès du marchand le patient défend le serveur.,auditory
28,trial_29,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,champion,médecin,entend,Le champion proche du médecin entend ce pompier.,auditory
29,trial_30,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,juges,libraire,séduisent,Ces juges proche du libraire séduisent les marchands.,auditory
30,trial_31,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,chanteurs,chef,reçoivent,Des chanteurs loin du chef reçoivent des notaires.,auditory
31,trial_32,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,boucher,danseur,élit,Le boucher que ce danseur élit veut mourir.,auditory
32,trial_33,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,clients,matelot,reçoit,Ces clients loin du matelot reçoit les serveurs.,auditory
