trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,chefs,défend,Des chanteurs que ces chefs défend écrivent rarement.,visual,mentent,False,5.0
trial_2,GDLS,lr_obj,no,no,yes,,sing,plur,plur,danseur,prêtres,séduisent,Un danseur que les prêtres séduisent veut manger.,visual,ces,False,5.5
trial_3,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,gérant,marchand,punissent,Le gérant que le marchand punissent peint toujours.,visual,Le,True,6.0
trial_4,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,facteur,juge,élisent,Près du facteur un juge élisent le marchand.,visual,ce,False,6.5
trial_5,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,facteurs,gérants,reçoit,Des facteurs près des gérants reçoit ces plombiers.,visual,gérants,True,7.0
trial_6,GDLS,lr_obj,no,no,yes,,plur,sing,sing,chanteurs,marchand,décrit,Des chanteurs que ce marchand décrit doivent dormir.,visual,attend,False,5.0
trial_7,GS,sr_pp,no,yes,no,,sing,sing,sing,libraire,marchand,émeut,Près du libraire le marchand émeut ce vendeur.,visual,un,False,5.5
trial_8,GSLS,lr_obj,no,yes,no,,sing,sing,sing,coiffeur,comédien,entend,Le coiffeur que le comédien entend peint rarement.,visual,ment,False,6.0
trial_9,GS,sr_pp,no,yes,no,,plur,plur,plur,coiffeurs,prêtres,défendent,Auprès des coiffeurs des prêtres défendent ces soldats.,visual,des,True,6.5
trial_10,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,champions,gardien,élit,Ces champions loin du gardien élit ces vendeurs.,visual,ces,True,7.0
trial_11,GSLS,lr_pp,no,yes,no,,plur,plur,plur,danseurs,patients,haïssent,Ces danseurs loin des patients haïssent des peintres.,visual,soldats,False,5.0
trial_12,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chanteur,notaires,élit,Ce chanteur auprès des notaires élit le serveur.,visual,chanteur,True,5.5
trial_13,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,chanteur,marchands,reçoit,Un chanteur que les marchands reçoit part demain.,visual,notaires,False,6.0
trial_14,GSLS,lr_pp,no,yes,no,,sing,sing,sing,champion,chef,craint,Ce champion loin du chef craint ce notaire.,visual,un,False,6.5
trial_15,GSLS,lr_obj,no,yes,no,,plur,plur,plur,comédiens,danseurs,attendent,Ces comédiens que les danseurs attendent veulent manger.,visual,Ces,True,7.0
trial_16,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,champion,chefs,entendent,Ce champion proche des chefs entendent un peintre.,visual,ces,False,5.0
trial_17,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,dentistes,juge,décrivent,Des dentistes que le juge décrivent peignent toujours.,visual,attendent,False,5.5
trial_18,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,champions,décrit,Auprès des bouchers des champions décrit des pompiers.,visual,Loin,False,6.0
trial_19,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,danseur,juge,haïssent,Ce danseur auprès du juge haïssent le pompier.,visual,auprès,True,6.5
trial_20,GSLD,lr_pp,no,no,yes,,plur,sing,plur,juges,libraire,séduisent,Des juges auprès du libraire séduisent ces marchands.,visual,ces,True,7.0
trial_21,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,bouchers,comédien,bénissent,Ces bouchers que ce comédien bénissent répondent rarement.,auditory,décrivent,False,5.0
trial_22,GDLS,lr_obj,no,no,yes,,plur,sing,sing,clients,libraire,punit,Ces clients que le libraire punit vomissent parfois.,auditory,Ces,True,5.5
trial_23,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,libraire,marin,séduisent,Ce libraire que le marin séduisent veut partir.,auditory,partir,True,6.0
trial_24,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,malades,bénit,Auprès des gérants les malades bénit des matelots.,auditory,ces,False,6.5
trial_25,GDLS,lr_obj,no,no,yes,,sing,plur,plur,dentiste,juges,reçoivent,Ce dentiste que les juges reçoivent écrit parfois.,auditory,reçoivent,True,7.0
trial_26,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,danseur,séduisent,Loin du chanteur ce danseur séduisent un peintre.,auditory,le,False,5.0
trial_27,GSLS,lr_obj,no,yes,no,,plur,plur,plur,libraires,marchands,servent,Des libraires que ces marchands servent peignent rarement.,auditory,Les,False,5.5
trial_28,GSLD,lr_pp,no,no,yes,,plur,sing,plur,coiffeurs,marin,craignent,Des coiffeurs proche du marin craignent ces pompiers.,auditory,le,False,6.0
trial_29,GS,sr_pp,no,yes,no,,sing,sing,sing,médecin,patient,élit,Loin du médecin ce patient élit un vendeur.,auditory,endort,False,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,patients,suit,Les gérants proche des patients suit ces serveurs.,auditory,ces,True,7.0
trial_31,GSLS,lr_pp,no,yes,no,,plur,plur,plur,libraires,marins,séduisent,Les libraires auprès des marins séduisent des vendeurs.,auditory,dentistes,False,5.0
trial_32,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,champion,coiffeurs,haïssent,Ce champion proche des coiffeurs haïssent ce patient.,auditory,champion,True,5.5
trial_33,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,peintres,plombier,reçoit,Des peintres loin du plombier reçoit les pompiers.,auditory,Ces,False,6.0
trial_34,GS,sr_pp,no,yes,no,,plur,plur,plur,clients,malades,émeuvent,Près des clients ces malades émeuvent ces peintres.,auditory,peintres,True,6.5
trial_35,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,gardien,gérant,attendent,Un gardien proche du gérant attendent ce patient.,auditory,soldat,False,7.0
trial_36,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,peintre,plombiers,séduit,Le peintre que les plombiers séduit écrit souvent.,auditory,toujours,False,5.0
trial_37,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chanteur,client,reçoit,Un chanteur auprès du client reçoit le peintre.,auditory,chanteur,True,5.5
trial_38,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,gérants,marins,reçoit,Les gérants que les marins reçoit doivent partir.,auditory,les,True,6.0
trial_39,GSLD,lr_pp,no,no,yes,,sing,plur,sing,client,gardiens,attend,Le client proche des gardiens attend ce marin.,auditory,danseur,False,6.5
trial_40,GSLS,lr_obj,no,yes,no,,sing,sing,sing,danseur,matelot,séduit,Ce danseur que ce matelot séduit veut partir.,auditory,veut,True,7.0
