sing,sing_freq,plur,sing_nl,plur_nl
père,879.31,pères,4,5
frère,311.45,frères,5,6
chef,189.79,chefs,4,5
bébé,173.82,bébés,4,5
médecin,112.35,médecins,7,8
juge,56.4,juges,4,5
gamin,55.94,gamins,5,6
client,53.63,clients,6,7
soldat,52.78,soldats,6,7
prêtre,38.37,prêtres,6,7
cousin,37.31,cousins,6,7
patient,29.58,patients,7,8
champion,27.69,champions,8,9
malade,25.67,malades,6,7
crétin,25.61,crétins,6,7
gardien,18.55,gardiens,7,8
dentiste,14.57,dentistes,8,9
peintre,13.6,peintres,7,8
fils,13.09,filss,4,5
vendeur,11.3,vendeurs,7,8
coiffeur,11.01,coiffeurs,8,9
chanteur,9.8,chanteurs,8,9
facteur,9.67,facteurs,7,8
serveur,9.21,serveurs,7,8
marchand,8.66,marchands,8,9
marin,8.48,marins,5,6
coach,7.33,coachs,5,6
boucher,7.15,bouchers,7,8
danseur,5.85,danseurs,7,8
gérant,5.54,gérants,6,7
gendarme,5.53,gendarmes,8,9
plombier,5.22,plombiers,8,9
pêcheur,5.08,pêcheurs,7,8
matelot,4.78,matelots,7,8
notaire,4.63,notaires,7,8
comédien,3.02,comédiens,8,9
pompier,2.67,pompiers,7,8
bûcheron,2.13,bûcherons,8,9
libraire,1.67,libraires,8,9
sportif,1.3,sportifs,7,8
nigaud,1.27,nigauds,6,7
poupon,0.33,poupons,6,7
fromager,0.3,fromagers,8,9
gymnaste,0.26,gymnastes,8,9
brasseur,0.23,brasseurs,8,9
clown,0.06,clowns,5,6
cassier,0.0,cassiers,7,8
steward,0.0,stewards,7,8
