trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,coiffeur,pompier,émeuvent,Près du coiffeur un pompier émeuvent ce prêtre.,visual,peintre,False,5.0
trial_2,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,comédiens,danseurs,attend,Les comédiens que les danseurs attend repartent demain.,visual,Ces,False,5.5
trial_3,GS,sr_pp,no,yes,no,,plur,plur,plur,bouchers,coiffeurs,séduisent,Proche des bouchers ces coiffeurs séduisent ces gardiens.,visual,Proche,True,6.0
trial_4,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,chanteurs,malades,émeut,Près des chanteurs les malades émeut des serveurs.,visual,chanteurs,True,6.5
trial_5,GDLS,lr_obj,no,no,yes,,plur,sing,sing,juges,matelot,séduit,Les juges que le matelot séduit veulent dormir.,visual,le,True,7.0
trial_6,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chef,médecins,élit,Le chef près des médecins élit un pompier.,visual,pompier,True,5.0
trial_7,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chef,gérant,bénit,Un chef près du gérant bénit un prêtre.,visual,loin,False,5.5
trial_8,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,facteurs,gardiens,suit,Ces facteurs près des gardiens suit les juges.,visual,médecins,False,6.0
trial_9,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,chanteurs,client,émeut,Des chanteurs près du client émeut ces vendeurs.,visual,ce,False,6.5
trial_10,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,chef,coiffeur,entendent,Un chef auprès du coiffeur entendent ce marchand.,visual,client,False,7.0
trial_11,GS,sr_pp,no,yes,no,,sing,sing,sing,chef,juge,attend,Proche du chef un juge attend ce peintre.,visual,un,True,5.0
trial_12,GSLS,lr_obj,no,yes,no,,plur,plur,plur,chefs,facteurs,endorment,Les chefs que les facteurs endorment répondent lentement.,visual,Ces,False,5.5
