trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_1,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,chanteur,client,craignent,Un chanteur proche du client craignent un patient.,auditory,client,True,5.0
trial_2,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,prêtres,soldats,haïssent,Des prêtres près des soldats haïssent des vendeurs.,auditory,proche,False,5.5
trial_3,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,danseur,dentistes,plaint,Le danseur que ces dentistes plaint veut dormir.,auditory,veut,True,6.0
trial_4,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,gérant,matelot,servent,Un gérant que ce matelot servent sait danser.,auditory,Le,False,6.5
trial_5,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,comédiens,danseurs,émeut,Auprès des comédiens des danseurs émeut des peintres.,auditory,Près,False,7.0
trial_6,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,champion,danseur,suit,Ce champion loin du danseur suit le dentiste.,auditory,Ce,True,5.0
trial_7,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,comédiens,marins,craignent,Les comédiens que ces marins craignent repartent dehors.,auditory,Les,True,5.5
trial_8,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,client,facteur,entend,Ce client que ce facteur entend vomit souvent.,auditory,Un,False,6.0
trial_9,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,marin,serveurs,plaignent,Un marin que ces serveurs plaignent sait conduire.,auditory,ces,True,6.5
trial_10,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,bouchers,client,craignent,Les bouchers que ce client craignent veulent dormir.,auditory,le,False,7.0
trial_11,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,chef,coiffeurs,bénit,Ce chef auprès des coiffeurs bénit ce facteur.,auditory,Ce,True,5.0
trial_12,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,gérants,notaires,défend,Les gérants proche des notaires défend des peintres.,auditory,défend,True,5.5
trial_13,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,comédiens,dentistes,élit,Les comédiens que ces dentistes élit repartent aussitôt.,auditory,Les,True,6.0
trial_14,GS,sr_pp,no,yes,no,None,sing,sing,sing,notaire,plombier,élit,Près du notaire un plombier élit ce prêtre.,auditory,prêtre,True,6.5
trial_15,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,chanteur,facteurs,attendent,Le chanteur loin des facteurs attendent un médecin.,auditory,patient,False,7.0
trial_16,GS,sr_pp,no,yes,no,None,plur,plur,plur,bouchers,champions,décrivent,Auprès des bouchers ces champions décrivent des serveurs.,auditory,Près,False,5.0
trial_17,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,pompier,soldat,reçoivent,Loin du pompier ce soldat reçoivent le vendeur.,auditory,un,False,5.5
trial_18,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,chefs,marin,défend,Ces chefs que le marin défend mentent parfois.,auditory,près,False,6.0
trial_19,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,danseurs,juge,servent,Ces danseurs auprès du juge servent ces libraires.,auditory,juge,True,6.5
trial_20,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,chanteurs,marin,sert,Les chanteurs loin du marin sert les patients.,auditory,Ces,False,7.0
trial_21,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,gérants,marchands,punissent,Ces gérants loin des marchands punissent les matelots.,visual,les,True,5.0
trial_22,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,facteurs,gardien,élit,Ces facteurs loin du gardien élit les patients.,visual,les,True,5.5
trial_23,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,juges,notaire,séduisent,Les juges proche du notaire séduisent des pompiers.,visual,des,True,6.0
trial_24,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,client,facteur,suivent,Proche du client un facteur suivent un marchand.,visual,marchand,True,6.5
trial_25,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,champion,dentiste,punissent,Un champion auprès du dentiste punissent ce juge.,visual,punissent,True,7.0
trial_26,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,marchand,médecins,sert,Ce marchand que ces médecins sert peint souvent.,visual,peint,True,5.0
trial_27,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,gérant,malade,défend,Un gérant proche du malade défend ce patient.,visual,client,False,5.5
trial_28,GSLS,lr_obj,no,yes,no,None,plur,plur,plur,médecins,notaires,craignent,Les médecins que les notaires craignent vomissent encore.,visual,que,True,6.0
trial_29,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,bouchers,malade,émeut,Les bouchers que ce malade émeut doivent dormir.,visual,ce,True,6.5
trial_30,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,champion,facteurs,bénit,Un champion près des facteurs bénit un notaire.,visual,notaire,True,7.0
trial_31,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,client,dentiste,sert,Ce client que le dentiste sert peint parfois.,visual,élit,False,5.0
trial_32,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,gérants,médecins,hait,Ces gérants que les médecins hait partent lentement.,visual,serveurs,False,5.5
trial_33,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,marchands,matelots,bénit,Proche des marchands ces matelots bénit des plombiers.,visual,matelots,True,6.0
trial_34,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,boucher,juge,reçoivent,Le boucher que ce juge reçoivent répond lentement.,visual,gardien,False,6.5
trial_35,GS,sr_pp,no,yes,no,None,plur,plur,plur,bouchers,malades,émeuvent,Auprès des bouchers ces malades émeuvent des patients.,visual,haïssent,False,7.0
trial_36,GS,sr_pp,no,yes,no,None,sing,sing,sing,boucher,juge,sert,Auprès du boucher ce juge sert ce malade.,visual,chef,False,5.0
trial_37,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,danseur,marchands,décrivent,Un danseur proche des marchands décrivent le matelot.,visual,les,False,5.5
trial_38,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,comédiens,notaires,plaint,Les comédiens près des notaires plaint les vendeurs.,visual,gérants,False,6.0
trial_39,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,coiffeurs,dentiste,séduisent,Des coiffeurs que le dentiste séduisent repartent aussitôt.,visual,dentiste,True,6.5
trial_40,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,juge,notaires,émeuvent,Le juge que ces notaires émeuvent écrit parfois.,visual,les,False,7.0
