Var1	Unnamed_0	condition	structure	filler	violation	congruency	interference	viol_loc	n1_number	n2_number	v1_number	n1	n2	v1	sentence	run_type	block_type	subject_response	RT	Behavioral	Behavioral_index	TR
0	0	GSLS	obj	no	no	yes	no	None	sing	sing	sing	coiffeur	médecin	suit	Le coiffeur que le médecin suit repart demain.	visual	visual	0	0.41511	TN	3	6
1	1	GDLS	obj	no	no	no	yes	None	plur	sing	sing	gérants	marchand	entend	Les gérants que le marchand entend peignent toujours.	visual	visual	0	0.61709	TN	3	4
2	2	GDLS	obj	no	no	no	yes	None	sing	plur	plur	danseur	gérants	attendent	Un danseur que les gérants attendent veut manger.	visual	visual	NaN	NaN	NR	5	8
3	3	pp_filler	pp	yes	yes	None	None	5	sing	plur	sing	boucher	vomit	défend	Le boucher loin du vomit défend un chanteur.	visual	visual	NaN	NaN	NR	5	8
4	4	GSLD	obj	no	yes	no	no	6	plur	sing	plur	marins	médecin	décrivent	Ces marins que le médecin décrivent partent demain.	visual	visual	NaN	NaN	NR	5	8
5	5	GSLS	pp	no	no	yes	no	None	sing	sing	sing	champion	coiffeur	émeut	Le champion proche du coiffeur émeut un marchand.	visual	visual	NaN	NaN	NR	5	4
6	6	pp_filler	pp	yes	yes	None	None	5	plur	sing	plur	clients	veulent	servent	Les clients loin des veulent servent ces libraires.	visual	visual	NaN	NaN	NR	5	8
7	7	GSLD	obj	no	yes	no	no	6	plur	sing	plur	coiffeurs	gérant	punissent	Les coiffeurs que ce gérant punissent peignent souvent.	visual	visual	NaN	NaN	NR	5	4
8	8	GDLS	obj	no	no	no	yes	None	plur	sing	sing	danseurs	notaire	punit	Les danseurs que ce notaire punit savent conduire.	visual	visual	NaN	NaN	NR	5	6
9	9	GSLD	pp	no	no	no	yes	None	sing	plur	sing	danseur	malades	plaint	Le danseur proche des malades plaint un notaire.	visual	visual	NaN	NaN	NR	5	4
10	10	GSLS	pp	no	no	yes	no	None	sing	sing	sing	coiffeur	patient	attend	Ce coiffeur auprès du patient attend le serveur.	visual	visual	NaN	NaN	NR	5	4
11	11	GDLD	obj	no	yes	yes	yes	6	sing	sing	plur	champion	gardien	entendent	Ce champion que ce gardien entendent sait cuisiner.	visual	visual	NaN	NaN	NR	5	6
12	12	GDLD	pp	no	yes	yes	yes	6	sing	sing	plur	champion	chanteur	servent	Un champion auprès du chanteur servent ce pompier.	visual	visual	NaN	NaN	NR	5	8
13	13	GDLD	pp	no	yes	yes	yes	6	sing	sing	plur	coiffeur	notaire	endorment	Le coiffeur auprès du notaire endorment un pompier.	visual	visual	NaN	NaN	NR	5	6
14	14	GDLS	pp	no	yes	no	no	6	plur	sing	sing	médecins	plombier	séduit	Les médecins proche du plombier séduit ces prêtres.	visual	visual	NaN	NaN	NR	5	8
15	15	GDLS	obj	no	no	no	yes	None	plur	sing	sing	facteurs	patient	attend	Les facteurs que ce patient attend écrivent parfois.	visual	visual	NaN	NaN	NR	5	6
16	16	GDLD	obj	no	yes	yes	yes	6	sing	sing	plur	juge	médecin	décrivent	Ce juge que ce médecin décrivent repart aussitôt.	visual	visual	NaN	NaN	NR	5	4
17	17	GSLS	pp	no	no	yes	no	None	plur	plur	plur	coiffeurs	malades	punissent	Les coiffeurs loin des malades punissent ces pompiers.	visual	visual	NaN	NaN	NR	5	8
18	18	GDLD	obj	no	yes	yes	yes	6	plur	plur	sing	bouchers	chefs	entend	Des bouchers que ces chefs entend veulent dormir.	visual	visual	NaN	NaN	NR	5	6
19	19	GDLS	obj	no	no	no	yes	None	plur	sing	sing	dentistes	notaire	hait	Ces dentistes que le notaire hait partent demain.	visual	visual	NaN	NaN	NR	5	6
20	20	pp_filler	pp	yes	yes	None	None	5	plur	sing	plur	coiffeurs	vomissent	séduisent	Ces coiffeurs loin des vomissent séduisent les pompiers.	visual	visual	NaN	NaN	NR	5	6
21	21	pp_filler	pp	yes	yes	None	None	5	plur	sing	plur	chefs	repartent	endorment	Les chefs proche des repartent endorment ces marins.	visual	visual	NaN	NaN	NR	5	4
22	22	GDLS	pp	no	yes	no	no	6	plur	sing	sing	coiffeurs	malade	bénit	Ces coiffeurs près du malade bénit des pompiers.	visual	visual	NaN	NaN	NR	5	4
23	23	GDLS	pp	no	yes	no	no	6	plur	sing	sing	facteurs	marin	suit	Des facteurs proche du marin suit ces notaires.	visual	visual	0	0.44885	FN	2	4
24	24	GDLD	obj	no	yes	yes	yes	6	sing	sing	plur	champion	marchand	décrivent	Le champion que ce marchand décrivent veut dormir.	visual	visual	0	0.53733	FN	2	8
25	25	GSLS	obj	no	no	yes	no	None	sing	sing	sing	gardien	gérant	suit	Le gardien que le gérant suit part lentement.	visual	visual	NaN	NaN	NR	5	6
26	26	GSLD	obj	no	yes	no	no	6	sing	plur	sing	danseur	matelots	punit	Un danseur que les matelots punit écrit toujours.	visual	visual	NaN	NaN	NR	5	6
27	27	GDLS	pp	no	yes	no	no	6	plur	sing	sing	clients	libraire	suit	Les clients proche du libraire suit des notaires.	visual	visual	NaN	NaN	NR	5	4
28	28	GDLS	pp	no	yes	no	no	6	sing	plur	plur	champion	plombiers	décrivent	Un champion proche des plombiers décrivent le soldat.	visual	visual	NaN	NaN	NR	5	8
29	29	GDLD	pp	no	yes	yes	yes	6	plur	plur	sing	clients	libraires	bénit	Les clients loin des libraires bénit des serveurs.	visual	visual	NaN	NaN	NR	5	6
30	30	GSLD	obj	no	yes	no	no	6	plur	sing	plur	danseurs	patient	reçoivent	Des danseurs que ce patient reçoivent mentent toujours.	visual	visual	NaN	NaN	NR	5	6
31	31	GSLS	obj	no	no	yes	no	None	plur	plur	plur	danseurs	plombiers	séduisent	Des danseurs que ces plombiers séduisent doivent manger.	visual	visual	NaN	NaN	NR	5	8
32	32	GDLS	obj	no	no	no	yes	None	plur	sing	sing	chefs	danseur	endort	Ces chefs que le danseur endort vomissent souvent.	visual	visual	NaN	NaN	NR	5	6
33	33	GDLS	obj	no	no	no	yes	None	sing	plur	plur	dentiste	malades	défendent	Ce dentiste que les malades défendent sait danser.	visual	visual	NaN	NaN	NR	5	4
34	34	GSLS	obj	no	no	yes	no	None	sing	sing	sing	coiffeur	malade	attend	Un coiffeur que le malade attend ment toujours.	visual	visual	NaN	NaN	NR	5	6
35	35	GDLD	obj	no	yes	yes	yes	6	sing	sing	plur	chanteur	malade	servent	Un chanteur que ce malade servent sait conduire.	visual	visual	NaN	NaN	NR	5	4
36	36	GDLS	obj	no	no	no	yes	None	sing	plur	plur	facteur	malades	défendent	Un facteur que ces malades défendent veut mourir.	visual	visual	NaN	NaN	NR	5	4
37	37	GSLS	obj	no	no	yes	no	None	plur	plur	plur	coiffeurs	gardiens	entendent	Des coiffeurs que les gardiens entendent repartent aussitôt.	visual	visual	NaN	NaN	NR	5	8
38	38	GSLD	pp	no	no	no	yes	None	plur	sing	plur	chefs	matelot	reçoivent	Des chefs près du matelot reçoivent ces serveurs.	visual	visual	NaN	NaN	NR	5	6
39	39	GDLS	pp	no	yes	no	no	6	plur	sing	sing	champions	dentiste	attend	Ces champions auprès du dentiste attend ces facteurs.	visual	visual	NaN	NaN	NR	5	8
40	40	GSLD	obj	no	yes	no	no	6	plur	sing	plur	clients	matelot	craignent	Ces clients que ce matelot craignent savent conduire.	visual	visual	NaN	NaN	NR	5	8
41	41	GSLD	obj	no	yes	no	no	6	plur	sing	plur	chefs	marin	entendent	Des chefs que ce marin entendent repartent demain.	visual	visual	NaN	NaN	NR	5	8
