trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_1,GSLS,lr_pp,no,yes,no,,plur,plur,plur,clients,facteurs,élisent,Des clients loin des facteurs élisent les prêtres.,visual,prêtres,True,5.0
trial_2,GDLS,lr_obj,no,no,yes,,plur,sing,sing,coiffeurs,danseur,endort,Des coiffeurs que ce danseur endort repartent dehors.,visual,Des,True,5.5
trial_3,GSLD,lr_pp,no,no,yes,,plur,sing,plur,bouchers,facteur,entendent,Ces bouchers auprès du facteur entendent ces vendeurs.,visual,près,False,6.0
trial_4,GSLS,lr_obj,no,yes,no,,sing,sing,sing,coiffeur,danseur,entend,Le coiffeur que le danseur entend vomit parfois.,visual,Le,True,6.5
trial_5,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,client,comédiens,bénit,Ce client que les comédiens bénit repart dehors.,visual,les,True,7.0
trial_6,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,prêtres,séduit,Près des comédiens les prêtres séduit des vendeurs.,visual,des,True,5.0
trial_7,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,comédiens,gardiens,suit,Les comédiens auprès des gardiens suit ces peintres.,visual,loin,False,5.5
trial_8,GSLD,lr_pp,no,no,yes,,sing,plur,sing,chef,matelots,élit,Le chef loin des matelots élit un pompier.,visual,chef,True,6.0
trial_9,GSLS,lr_pp,no,yes,no,,sing,sing,sing,marin,prêtre,hait,Ce marin loin du prêtre hait un vendeur.,visual,Ce,True,6.5
trial_10,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,dentiste,prêtre,bénissent,Près du dentiste un prêtre bénissent le soldat.,visual,ce,False,7.0
trial_11,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,champions,notaire,suit,Ces champions loin du notaire suit ces plombiers.,visual,défend,False,5.0
trial_12,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,coiffeurs,punissent,Les champions que ces coiffeurs punissent repartent déjà.,visual,Des,False,5.5
trial_13,GDLS,lr_obj,no,no,yes,,sing,plur,plur,matelot,prêtres,défendent,Un matelot que les prêtres défendent ment parfois.,visual,que,True,6.0
trial_14,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chanteur,coiffeur,émeuvent,Ce chanteur que ce coiffeur émeuvent peint souvent.,visual,émeuvent,True,6.5
trial_15,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,libraire,notaire,séduisent,Le libraire auprès du notaire séduisent ce patient.,visual,libraire,True,7.0
trial_16,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,clients,gardiens,endort,Des clients que ces gardiens endort doivent partir.,visual,Les,False,5.0
trial_17,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,patients,prêtre,craignent,Les patients que ce prêtre craignent partent demain.,visual,chef,False,5.5
trial_18,GS,sr_pp,no,yes,no,,sing,sing,sing,comédien,gardien,reçoit,Loin du comédien un gardien reçoit le patient.,visual,patient,True,6.0
trial_19,GS,sr_pp,no,yes,no,,plur,plur,plur,chefs,clients,défendent,Loin des chefs des clients défendent ces juges.,visual,des,True,6.5
trial_20,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,gardien,médecins,endorment,Ce gardien auprès des médecins endorment ce peintre.,visual,serveur,False,7.0
trial_21,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,marchands,patients,émeut,Des marchands que ces patients émeut savent cuisiner.,auditory,écrivent,False,5.0
trial_22,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,médecins,patients,sert,Ces médecins auprès des patients sert des soldats.,auditory,patients,True,5.5
trial_23,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,chanteurs,facteur,craignent,Des chanteurs que ce facteur craignent doivent dormir.,auditory,gardiens,False,6.0
trial_24,GSLD,lr_pp,no,no,yes,,plur,sing,plur,chefs,coiffeur,bénissent,Des chefs auprès du coiffeur bénissent ces marchands.,auditory,bouchers,False,6.5
trial_25,GS,sr_pp,no,yes,no,,sing,sing,sing,coiffeur,juge,séduit,Près du coiffeur ce juge séduit le serveur.,auditory,ce,True,7.0
trial_26,GSLS,lr_pp,no,yes,no,,plur,plur,plur,facteurs,gérants,endorment,Ces facteurs près des gérants endorment les vendeurs.,auditory,les,True,5.0
trial_27,GS,sr_pp,no,yes,no,,plur,plur,plur,médecins,notaires,haïssent,Loin des médecins des notaires haïssent les patients.,auditory,médecins,True,5.5
