infinitive,third_s,third_p,levenshtein,infitive_freq,third_s_nl,third_p_nl,l_difference,english,transitivity
finir,finit,finissent,4,292.55,5,9,4,finish,transitive
faillir,faut,faillent,5,42.7,4,8,4,fail,transitive
ravir,ravit,ravissent,4,40.64,5,9,4,delight,intransitive
agir,agit,agissent,4,13.69,4,8,4,to act,transitive
bénir,bénit,bénissent,4,10.9,5,9,4,bless,transitive
subir,subit,subissent,4,10.22,5,9,4,undergo,transitive
punir,punit,punissent,4,10.09,5,9,4,to punish,transitive
polir,polit,polissent,4,6.04,5,9,4,polish,transitive
bâtir,bâtit,bâtissent,4,5.47,5,9,4,to build,transitive
vomir,vomit,vomissent,4,5.19,5,9,4,to vomit,intransitive
obéir,obéit,obéissent,4,3.38,5,9,4,to obey,transitive
jouir,jouit,jouissent,4,3.33,5,9,4,enjoy,transitive
salir,salit,salissent,4,2.66,5,9,4,dirty,transitive
périr,périt,périssent,4,2.56,5,9,4,perish,intransitive
unir,unit,unissent,4,1.57,4,8,4,unite,transitive
mûrir,mûrit,mûrissent,4,1.32,5,9,4,maturing,intransitive
munir,munit,munissent,4,1.14,5,9,4,provide,transitive
régir,régit,régissent,4,0.5,5,9,4,to govern,intransitive/transitive
rôtir,rôtit,rôtissent,4,0.4,5,9,4,to roast,transitive
pâlir,pâlit,pâlissent,4,0.31,5,9,4,fade,intransitive
gémir,gémit,gémissent,4,0.28,5,9,4,moan,intransitive
tarir,tarit,tarissent,4,0.28,5,9,4,dry up,intransitive
bruire,bruit,bruissent,4,0.23,5,9,4,rustle,intransitive
tapir,tapit,tapissent,4,0.19,5,9,4,squat,intransitive
pâtir,pâtit,pâtissent,4,0.18,5,9,4,suffer,intransitive
sévir,sévit,sévissent,4,0.14,5,9,4,crack down,intransitive
rosir,rosit,rosissent,4,0.1,5,9,4,turn pink,intransitive
fouir,fouit,fouissent,4,0.02,5,9,4,go to,transitive
lotir,lotit,lotissent,4,0.01,5,9,4,subdivide,transitive
mugir,mugit,mugissent,4,0.01,5,9,4,howl ,intransitive
vagir,vagit,vagissent,4,0,5,9,4,scream,intransitive
chauvir,chauvit,chauvent,2,0,7,8,1,,
cotir,cotit,cotissent,4,0,5,9,4,contribute,transitive
rouir,rouit,rouissent,4,0,5,9,4,,
rugir,rugit,rugissent,4,0,5,9,4,roar,intransitive
